"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"147","Oct","11","01:11:22","ns1","ftpd","29894","FTP session closed","E32","FTP session closed"
"148","Oct","11","01:11:22","ns1","ftpd","29911","FTP session closed","E32","FTP session closed"
"149","Oct","11","01:11:22","ns1","ftpd","29910","FTP session closed","E32","FTP session closed"
"150","Oct","11","01:11:22","ns1","ftpd","29893","FTP session closed","E32","FTP session closed"
"151","Oct","11","04:39:16","ns1","login(pam_unix)","974","session opened for user tguy by LOGIN(uid=0)","E108","session opened for user tguy by LOGIN(uid= <*>"
"152","Oct","11","04:39:16","ns1","-- tguy","974","LOGIN ON tty1 BY tguy","E124","LOGIN ON tty1 BY tguy"
"153","Oct","11","04:39:42","ns1","login(pam_unix)","974","session closed for user tguy","E126","session closed for user tguy"
"154","Oct","11","09:26:51","ns1","ftpd","32276","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"155","Oct","11","09:26:51","ns1","ftpd","32277","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"156","Oct","11","09:26:51","ns1","ftpd","32279","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"157","Oct","11","09:26:51","ns1","ftpd","32280","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"158","Oct","11","09:26:51","ns1","ftpd","32281","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"159","Oct","11","09:26:51","ns1","ftpd","32278","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"160","Oct","11","09:26:51","ns1","ftpd","32275","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"161","Oct","11","09:26:51","ns1","ftpd","32282","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"162","Oct","11","09:26:51","ns1","ftpd","32283","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
